id,center_x,center_y,radius,crop_path,text,ocr_confidence
25,899,673,97,output/circles_output_pnid11\pnid_cropped_upscaled\crops\circle_25.png,,0
26,587,503,85,output/circles_output_pnid11\pnid_cropped_upscaled\crops\circle_26.png,,0
27,1225,470,69,output/circles_output_pnid11\pnid_cropped_upscaled\crops\circle_27.png,,0
28,807,947,113,output/circles_output_pnid11\pnid_cropped_upscaled\crops\circle_28.png,,0
29,1271,634,98,output/circles_output_pnid11\pnid_cropped_upscaled\crops\circle_29.png,,0
30,1051,1029,60,output/circles_output_pnid11\pnid_cropped_upscaled\crops\circle_30.png,,0
31,907,987,108,output/circles_output_pnid11\pnid_cropped_upscaled\crops\circle_31.png,,0
32,451,181,78,output/circles_output_pnid11\pnid_cropped_upscaled\crops\circle_32.png,,0
33,1247,850,102,output/circles_output_pnid11\pnid_cropped_upscaled\crops\circle_33.png,,0
34,325,167,81,output/circles_output_pnid11\pnid_cropped_upscaled\crops\circle_34.png,,0
35,817,163,108,output/circles_output_pnid11\pnid_cropped_upscaled\crops\circle_35.png,,0
36,1030,681,90,output/circles_output_pnid11\pnid_cropped_upscaled\crops\circle_36.png,,0
37,1179,793,104,output/circles_output_pnid11\pnid_cropped_upscaled\crops\circle_37.png,,0
38,1231,351,89,output/circles_output_pnid11\pnid_cropped_upscaled\crops\circle_38.png,,0
39,1312,574,86,output/circles_output_pnid11\pnid_cropped_upscaled\crops\circle_39.png,,0
40,193,169,55,output/circles_output_pnid11\pnid_cropped_upscaled\crops\circle_40.png,,0
41,481,595,104,output/circles_output_pnid11\pnid_cropped_upscaled\crops\circle_41.png,,0
42,815,653,37,output/circles_output_pnid11\pnid_cropped_upscaled\crops\circle_42.png,,0
43,1451,545,95,output/circles_output_pnid11\pnid_cropped_upscaled\crops\circle_43.png,,0
44,1336,881,97,output/circles_output_pnid11\pnid_cropped_upscaled\crops\circle_44.png,5,46
45,464,121,95,output/circles_output_pnid11\pnid_cropped_upscaled\crops\circle_45.png,,0
46,224,256,77,output/circles_output_pnid11\pnid_cropped_upscaled\crops\circle_46.png,7,54
47,619,788,56,output/circles_output_pnid11\pnid_cropped_upscaled\crops\circle_47.png,,0
48,133,163,81,output/circles_output_pnid11\pnid_cropped_upscaled\crops\circle_48.png,,0
49,1053,460,34,output/circles_output_pnid11\pnid_cropped_upscaled\crops\circle_49.png,K,77
50,253,332,86,output/circles_output_pnid11\pnid_cropped_upscaled\crops\circle_50.png,3,54
