id,center_x,center_y,radius,text_pixels,fill_ratio,edge_support,crop_path
242,384,381,44,179,0.1605,0.7524,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_242.png
243,616,179,44,262,0.1503,0.5715,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_243.png
244,832,342,44,469,0.2218,0.6439,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_244.png
245,846,470,44,473,0.1892,0.6004,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_245.png
246,917,487,44,329,0.1985,0.5787,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_246.png
247,944,858,44,157,0.1537,0.6439,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_247.png
248,1007,792,44,242,0.1733,0.6764,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_248.png
249,500,266,44,175,0.1666,0.6439,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_249.png
250,683,179,44,232,0.1388,0.6185,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_250.png
251,868,907,44,280,0.1718,0.5245,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_251.png
252,1028,1019,44,713,0.2874,0.6149,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_252.png
253,1105,845,44,179,0.1725,0.6619,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_253.png
254,1203,927,44,105,0.1781,0.6294,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_254.png
255,956,776,44,427,0.2377,0.6004,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_255.png
256,717,311,44,209,0.1708,0.5896,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_256.png
257,1001,858,44,234,0.186,0.6619,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_257.png
258,783,309,44,346,0.2215,0.5824,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_258.png
259,921,798,44,364,0.1894,0.6402,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_259.png
260,581,457,44,201,0.1634,0.6258,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_260.png
261,1223,1052,44,342,0.233,0.6728,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_261.png
262,932,280,44,218,0.1041,0.4377,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_262.png
263,1330,580,44,424,0.2075,0.5679,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_263.png
264,440,174,44,162,0.1702,0.5824,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_264.png
265,703,697,44,94,0.1774,0.6149,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_265.png
266,1124,869,44,344,0.1879,0.6294,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_266.png
267,1253,576,44,565,0.256,0.7053,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_267.png
268,712,338,44,124,0.1202,0.539,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_268.png
269,829,313,44,390,0.2394,0.6475,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_269.png
270,869,275,44,162,0.1613,0.6041,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_270.png
271,881,886,44,395,0.1754,0.586,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_271.png
272,1153,953,44,573,0.2672,0.4811,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_272.png
273,1304,1019,44,65,0.1246,0.6475,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_273.png
274,576,527,44,257,0.2226,0.5679,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_274.png
275,697,294,44,461,0.1904,0.557,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_275.png
276,972,864,44,71,0.1641,0.5932,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_276.png
277,1005,436,44,333,0.2012,0.6185,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_277.png
278,1055,478,44,206,0.1588,0.5715,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_278.png
279,542,457,44,234,0.1764,0.6149,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_279.png
280,1056,557,44,142,0.1917,0.5353,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_280.png
281,1189,961,44,319,0.1406,0.5426,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_281.png
282,1350,1051,44,71,0.0954,0.6366,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_282.png
283,655,274,44,436,0.1684,0.4883,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_283.png
284,741,620,44,59,0.0898,0.5245,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_284.png
285,803,331,44,366,0.1899,0.5281,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_285.png
286,982,346,44,119,0.1029,0.5426,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_286.png
287,720,277,44,198,0.1434,0.5426,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_287.png
288,849,885,44,100,0.1218,0.5064,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_288.png
289,930,879,44,475,0.1848,0.5173,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_289.png
290,982,373,44,119,0.0889,0.4956,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_290.png
291,1111,915,44,613,0.2941,0.5281,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_291.png
292,1194,852,44,124,0.1692,0.5028,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_292.png
293,697,369,44,113,0.0751,0.5534,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_293.png
294,952,1008,44,49,0.1697,0.5679,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_294.png
295,982,285,44,240,0.1337,0.51,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_295.png
296,479,283,44,515,0.2004,0.4341,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_296.png
297,829,492,44,20,0.1483,0.4956,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_297.png
298,404,179,44,188,0.1656,0.4413,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_298.png
299,568,300,44,475,0.2749,0.5643,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_299.png
300,712,456,44,190,0.1493,0.6258,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_300.png
301,1159,579,44,152,0.159,0.5715,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_301.png
302,1421,574,44,104,0.1421,0.5715,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_302.png
303,766,620,44,97,0.1039,0.5498,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_303.png
304,893,534,44,178,0.0996,0.4775,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_304.png
305,642,532,44,189,0.1231,0.4702,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_305.png
306,812,755,44,37,0.1246,0.3943,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_306.png
307,319,384,44,105,0.0929,0.4883,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_307.png
308,1028,1051,44,385,0.1909,0.5715,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_308.png
309,1136,773,44,209,0.1442,0.5245,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_309.png
310,196,203,44,355,0.1981,0.463,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_310.png
311,359,384,44,274,0.1485,0.5245,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_311.png
312,599,620,44,23,0.1333,0.5932,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_312.png
313,293,263,44,616,0.2731,0.4992,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_313.png
314,1316,556,44,144,0.1281,0.4919,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_314.png
315,543,533,44,287,0.2137,0.5245,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_315.png
316,595,789,44,212,0.1904,0.4883,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_316.png
317,812,593,44,171,0.1422,0.4377,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_317.png
318,1100,869,44,41,0.1305,0.5245,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_318.png
319,986,931,44,27,0.1154,0.4558,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_319.png
320,1151,556,44,146,0.1139,0.4992,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_320.png
321,273,280,44,290,0.2129,0.4919,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_321.png
322,531,785,44,230,0.167,0.4196,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_322.png
323,936,990,44,530,0.2496,0.4666,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_323.png
324,988,456,44,256,0.1883,0.4956,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_324.png
325,1057,907,44,48,0.1085,0.4594,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_325.png
326,653,711,44,213,0.1843,0.4087,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_326.png
327,333,300,44,224,0.1874,0.4666,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_327.png
328,775,459,44,169,0.1457,0.4377,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_328.png
329,1064,455,44,262,0.1554,0.4015,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_329.png
330,1070,932,44,186,0.1332,0.3907,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_330.png
331,88,842,44,271,0.1721,0.4304,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_331.png
332,640,304,44,216,0.1606,0.4738,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_332.png
333,847,260,44,447,0.2177,0.4775,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_333.png
334,1062,410,44,66,0.1352,0.3943,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_334.png
335,1669,580,44,142,0.1419,0.3798,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_335.png
336,522,246,44,116,0.0939,0.4051,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_336.png
337,622,697,44,35,0.0959,0.3834,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_337.png
338,812,536,44,48,0.1057,0.3364,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_338.png
339,875,242,44,229,0.1133,0.4413,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_339.png
340,881,563,44,112,0.1159,0.4087,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_340.png
341,349,175,44,33,0.0715,0.3726,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_341.png
342,142,191,44,261,0.1527,0.4051,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_342.png
343,145,263,44,86,0.1286,0.369,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_343.png
344,180,249,44,272,0.1562,0.4304,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_344.png
345,1275,918,44,179,0.137,0.3581,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_345.png
346,530,269,44,86,0.0842,0.51,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_346.png
347,538,844,44,153,0.0986,0.3726,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_347.png
348,548,246,44,116,0.1014,0.3979,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_348.png
349,94,405,44,448,0.1953,0.387,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_349.png
350,103,457,44,225,0.1677,0.369,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_350.png
351,628,651,44,231,0.1488,0.34,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_351.png
352,1051,637,44,37,0.0959,0.5064,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_352.png
353,1672,518,44,166,0.1564,0.3907,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_353.png
354,608,669,44,67,0.134,0.4196,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_354.png
355,1045,263,44,151,0.0949,0.34,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_355.png
356,1318,996,44,136,0.0658,0.3979,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_356.png
357,620,844,44,36,0.0819,0.3292,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_357.png
358,1603,574,44,63,0.0848,0.3726,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_358.png
359,522,720,44,32,0.0781,0.3436,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_359.png
360,1645,587,44,49,0.0967,0.2532,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_360.png
361,155,459,44,65,0.0732,0.3292,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_361.png
362,1617,1019,44,58,0.0738,0.293,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_362.png
363,1051,683,44,37,0.0834,0.3762,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_363.png
